Batch	Flag	MMS	OCLC	Details	Title
	CHECK-ENCODING	990248224530306576	(OCoLC)62421288	Encoding level: 0	On writing well : the classic guide to writing nonfiction / William Zinsser.
	CHECK-ENCODING	990251221750306576	(OCoLC)55112154	Encoding level: 0	In search of our mothers' gardens : womanist prose / Alice Walker.
	Has_$5	990251221750306576	(OCoLC)55112154	Field with $5 :490	
	Has_$5	990251221750306576	(OCoLC)55112154	Field with $5 :500	
	Has_$5	990251221750306576	(OCoLC)55112154	Field with $5 :505	
	EDIT-Series490-untraced	990251221750306576	(OCoLC)55112154	Series statement (untraced): A Harvest bookFSsNC	
	CHECK-ENCODING	990252238120306576	(OCoLC)61151546	Encoding level: a	Indigenous education and empowerment : international perspectives / edited by Ismael Abu-Saad and Duane Champagne.
	CHECK-Series490-traced	990252238120306576	(OCoLC)61151546	Series statement (traced): Contemporary Native American communities ;17	
	CHECK-ENCODING	990258567810306576	(OCoLC)56214707	Encoding level: 0	Play directing : analysis, communication, and style / Francis Hodge, Michael McLain.
	CHECK-ENCODING	990283650960306576	(OCoLC)36252820	Encoding level: a	Lord of the flies : a novel / by William Golding ; introduction by E.M. Forster ; with a biographical and critical note by E.L. Epstein.
	CHECK-ENCODING	990308143760306576	(OCoLC)751718448	Encoding level: 0	Black like us : a century of lesbian, gay, and bisexual African American fiction / edited by Devon W. Carbado, Dwight A. McBride, and Donald Weise ; foreword by Evelyn C. White.
	EDIT-ISBN_20a-to-z	990308143760306576	(OCoLC)751718448	020a: 9781573447508 (eBook)	
	EDIT-ISBN_20a-to-z	990308143760306576	(OCoLC)751718448	020a: 1573447501 (eBook)	
	CHECK-ENCODING	990339895640306576	(OCoLC)886476985	Encoding level: 0	Rethinking the black freedom movement / Yohuru Williams.
	CHECK-Series490-traced	990339895640306576	(OCoLC)886476985	Series statement (traced): American social and political movements of the twentieth century	
	CHECK-ENCODING	990348409250306576	(OCoLC)930059090	Encoding level: 0	Albrecht Dürer : documentary biography : Dürer's personal and aesthetic writings, words on pictures, family, legal and business documents, the artist in the writings of contemporaries / edition, translation, commentary by Jeffrey Ashcroft.
	CHECK-ENCODING	990349716350306576	(OCoLC)945359076	Encoding level: i	World atlas of tea / Krisi Smith.
	CHECK-ENCODING	990380186570306576	(OCoLC)1122720411	Encoding level: i	Piranesi / Susanna Clarke.
	CHECK-100-INDICATOR	99383840403006576	(OCoLC)752287022	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383840403006576	(OCoLC)752287022	245 Ind1: 0	The community development reader / edited by James DeFilippis and Susan Saegert.
