Batch	Flag	MMS	OCLC	Details	Title
	CHECK-Sets-ISBN_020A	990207181150306576	(OCoLC)68786698	ISBN:9780827608719 (v. 3) 0827608713 (v. 3) 0827608292 (alk. paper) 9780827608306 (v. 2) 9780827608290 0827608292 (v. 1) 0827608306 (v. 2) 9780827608290 (v. 1)	
	CHECK-Sets-ISBN_020A	990207181150306576	(OCoLC)68786698	ISBN:9780827608719 (v. 3) 0827608713 (v. 3) 0827608292 (alk. paper) 9780827608306 (v. 2) 9780827608290 0827608292 (v. 1) 0827608306 (v. 2) 9780827608290 (v. 1)	
	CHECK-Sets-ISBN_020A	990207181150306576	(OCoLC)68786698	ISBN:9780827608719 (v. 3) 0827608713 (v. 3) 0827608292 (alk. paper) 9780827608306 (v. 2) 9780827608290 0827608292 (v. 1) 0827608306 (v. 2) 9780827608290 (v. 1)	
	CHECK-Sets-ISBN_020A	990207181150306576	(OCoLC)68786698	ISBN:9780827608719 (v. 3) 0827608713 (v. 3) 0827608292 (alk. paper) 9780827608306 (v. 2) 9780827608290 0827608292 (v. 1) 0827608306 (v. 2) 9780827608290 (v. 1)	
	CHECK-Sets-ISBN_020A	990207181150306576	(OCoLC)68786698	ISBN:9780827608719 (v. 3) 0827608713 (v. 3) 0827608292 (alk. paper) 9780827608306 (v. 2) 9780827608290 0827608292 (v. 1) 0827608306 (v. 2) 9780827608290 (v. 1)	
	CHECK-Sets-ISBN_020A	990207181150306576	(OCoLC)68786698	ISBN:9780827608719 (v. 3) 0827608713 (v. 3) 0827608292 (alk. paper) 9780827608306 (v. 2) 9780827608290 0827608292 (v. 1) 0827608306 (v. 2) 9780827608290 (v. 1)	
	CHECK-Cataloging Language	990209320980306576	(OCoLC)41266156	040-b: 	A theory of justice / John Rawls.
	Has_$5	990209320980306576	(OCoLC)41266156	Field with $5 :505	
	CHECK-Cataloging Language	990209650870306576	(OCoLC)21118954	040-b: 	Off the road : my years with Cassady, Kerouac, and Ginsberg / Carolyn Cassady.
	Has_$5	990209650870306576	(OCoLC)21118954	Field with $5 :500	
	EDIT-Series490-untraced	990210037940306576	(OCoLC)15284982	Series statement (untraced): Borzoi book	
	CHECK-Cataloging Language	990210086200306576	(OCoLC)25246020	040-b: 	Race : how Blacks and whites think and feel about the American obsession / Studs Terkel.
	CHECK-Cataloging Language	990219664010306576	(OCoLC)61512984	040-b: 	Major powers and peacekeeping : perspectives, priorities and the challenges of military intervention / edited by Rachel E. Utley.
	Has_$5	990219664010306576	(OCoLC)61512984	Field with $5 :500	
	Has_$5	990219664010306576	(OCoLC)61512984	Field with $5 :505	
	CHECK-Cataloging Language	990231707860306576	(OCoLC)35559204	040-b: 	The road less traveled and beyond : spiritual growth in an age of anxiety / M. Scott Peck.
	Has_$5	990231707860306576	(OCoLC)35559204	Field with $5 :505	
	CHECK-Cataloging Language	990242913780306576	(OCoLC)377836865	040-b: 	Masculine shame : from succubus to the eternal feminine / Mary Y. Ayers.
	Has_$5	990242913780306576	(OCoLC)377836865	Field with $5 :505	
	CHECK-Cataloging Language	990248321040306576	(OCoLC)22984659	040-b: 	Chain reaction : the impact of race, rights, and taxes on American politics / Thomas Byrne Edsall with Mary D. Edsall.
	Has_$5	990248321040306576	(OCoLC)22984659	Field with $5 :500	
	Has_$5	990257443610306576	(OCoLC)65361042	Field with $5 :505	
	Has_$5	990257443610306576	(OCoLC)65361042	Field with $5 :505	
	Has_$5	990257443610306576	(OCoLC)65361042	Field with $5 :505	
	CHECK-Series490-traced	990340466280306576	(OCoLC)912872432	Series statement (traced): Gender and culture	
	CHECK-NonPrint	990352967740306576	(OCoLC)982653401	Check Bib record	Transgender psychoanalysis : a Lacanian perspective on sexual difference / Patricia Gherovici.
	CHECK-Series490-traced	990370505610306576	(OCoLC)1097960531	Series statement (traced): The Middle Ages series	
	CHECK-ENCODING	990381098290306576	(OCoLC)946908214	Encoding level: u	Fundraising principles and practice / Adrian Sargeant, Jen Shang, and Associates.
