Batch	Flag	MMS	OCLC	Details	Title
	EDIT-440	990232718490306576	(OCoLC)60705617	Series, obsolete field: New perspectives in crime, deviance, and law series	
	CHECK-Cataloging Language	990234456890306576	(OCoLC)663822388	040-b: 	The politics of dictatorship : institutions and outcomes in authoritarian regimes / Erica Frantz, Natasha Ezrow.
	Has_$5	990234456890306576	(OCoLC)663822388	Field with $5 :505	
	Has_$5	990234456890306576	(OCoLC)663822388	Field with $5 :505	
	CHECK-Series490-traced	990236283430306576	(OCoLC)36728033	Series statement (traced): Gender and genre in literature ;v. 9	
	CHECK-Series490-traced	990236283430306576	(OCoLC)36728033	Series statement (traced): Garland reference library of the humanities ;v. 2043	
	CHECK-MultipleSeries490	990236283430306576	(OCoLC)36728033	Check Bib record	In her own voice : nineteenth-century American women essayists / edited by Sherry Lee Linkon.
	CHECK-Cataloging Language	990250897150306576	(OCoLC)706024203	040-b: 	The Penguin anthology of twentieth-century American poetry / edited with an introduction by Rita Dove.
	Has_$5	990250897150306576	(OCoLC)706024203	Field with $5 :505	
	CHECK-Series490-traced	990252238120306576	(OCoLC)61151546	Series statement (traced): Contemporary Native American communities ;17	
	CHECK-Cataloging Language	990258567810306576	(OCoLC)56214707	040-b: 	Play directing : analysis, communication, and style / Francis Hodge, Michael McLain.
	CHECK-Cataloging Language	990286308800306576	(OCoLC)122261532	040-b: 	China, the U.S., and the power-transition theory : a critique / Steve Chan.
	Has_$5	990286308800306576	(OCoLC)122261532	Field with $5 :505	
	Has_$5	990286308800306576	(OCoLC)122261532	Field with $5 :505	
	Has_$5	990286308800306576	(OCoLC)122261532	Field with $5 :856	
	CHECK-Series490-traced	990302822430306576	(OCoLC)41721758	Series statement (traced): Penguin great books of the 20th century	
	CHECK-Series490-traced	990341750710306576	(OCoLC)911063697	Series statement (traced): Everyman's library ;372	
	CHECK-Series490-traced	990362596090306576	(OCoLC)1006301989	Series statement (traced): Wave Books ;068	
	Find OCLC	990380203890306576		Bib has no OCLC num	Indian education for all : decolonizing indigenous education in public schools / John P. Hopkins.
	CHECK-Series490-traced	990380203890306576		Series statement (traced): Multicultural education series	
	EDIT-245Ind1	99383843605306576	(OCoLC)1391142498	245 Ind1: 0	Reimagining apocalypticism : apocalyptic literature in the dead sea scrolls and related writings / edited by Lorenzo DiTommaso and Matthew Goff.
	CHECK-Series490-traced	99383843605306576	(OCoLC)1391142498	Series statement (traced): Early Judaism and its Literature ;no.57	
	EDIT-245Ind1	99383843895906576	(OCoLC)905699693	245 Ind1: 0	Conducting hermeneutic research : from philosophy to practice / Nancy J. Moules, Graham P. McCaffrey, James C. Field, Catherine M. Laing.
	CHECK-Series490-traced	99383843895906576	(OCoLC)905699693	Series statement (traced): Critical qualitative research,1947-5993 ;vol. 19	
	CHECK-Series490-traced	99383843897406576	(OCoLC)1227817176	Series statement (traced): Media, culture and communication in Asia-Pacific societies	
	CHECK-ENCODING	99383843899706576		Encoding level: 7	Journalism and the Russo-Japanese War: The End of the Golden Age of Combat Correspondence.
	Find OCLC	99383843899706576		Bib has no OCLC num	Journalism and the Russo-Japanese War: The End of the Golden Age of Combat Correspondence.
	CHECK-Cataloging Language	99383843899706576		040-b: 	Journalism and the Russo-Japanese War: The End of the Golden Age of Combat Correspondence.
