IZ_MMS	NZ_MMS	OCLC	BIB_LEVEL	DOC	TAG	IND	FIELD
990301909510306576	9910987418706561	08045088	m	f	490	0 	$a Geological bulletin / State of Florida, Department of Conservation, Florida Geographical Survey ; $v no. 25 $5 FTaSU
990301909510306576	9910987418706561	08045088	m	f	533	  	$a Photocopy. Ann Arbor, Mich. : University Microfilms International, 1979. -- 23 cm. $5 FTaSU
990301982480306576	9910832659406561	08078269	m	0	500	  	$a The numbers 176-177 are omitted in paging. $5 FTaSU
990301982480306576	9910832659406561	08078269	m	0	500	  	$a One of the plates (the map of the country of the savage nations, intended to be put, facing page 72) was reserved for publication with a second volume, which was, apparently, never published, although the author states in the Advertisement at the end of v. 1 that v. 2 is now in the press. $5 FTaSU
990301982480306576	9910832659406561	08078269	m	0	500	  	$a Photocopy. Ann Arbor, Mich. : University Microfilms International, 1979. -- 21 cm. $5 FTaSU
990302933660306576	9910867831706561	31143415	m	|	500	  	$a Cover title. $5 FTaSU
990302933660306576	9910867831706561	31143415	m	|	500	  	$a At head of p. [1]: The Florida Chamber of Commerce list of Florida Chambers of Commerce. $5 FTaSU
990304407820306576	9910963378106561	17560166	s	 	362	0 	$a 78th (1984)-81st (1987) $5 FTaSU
990304407820306576	9910963378106561	17560166	s	 	500	  	$a Title from cover. $5 FTaSU
990304407820306576	9910963378106561	17560166	s	 	780	00	$a Women of the Church (Presbyterian Church in the U.S.). Presbytery of Florida. $t Minutes of the ... annual meeting $5 FTaSU
990304407820306576	9910963378106561	17560166	s	 	785	00	$a Presbyterian Women (Presbyterian Church (U.S.A.)).Presbytery of Florida. $t Minutes of the ... annual gathering. $5 FTaSU
990304473210306576	9910938753306561	01814841	m	 	490	0 	$a [Reports on explorations / John K. Small ; $v no. 34] $5 FTaSU
990304473210306576	9910938753306561	01814841	m	 	500	  	$a Title from cover. $5 FTaSU
990304473210306576	9910938753306561	01814841	m	 	500	  	$a Reprinted from: Journal of the New York Botanical Garden, v. 23 (Nov. 1922) $5 FTaSU
990304495230306576	9910938772406561	15139051	m	|	490	0 	$a A Dukane Publication $5 FTaSU
